iter	Passed	Remaining
0	5	5699
1	11	5552
2	17	5745
3	22	5724
4	28	5692
5	36	6012
6	42	5969
7	47	5896
8	52	5829
9	58	5781
10	64	5766
11	69	5740
12	75	5711
13	81	5726
14	85	5632
15	91	5597
16	97	5639
17	103	5645
18	109	5632
19	115	5649
20	120	5633
21	126	5618
22	132	5649
23	138	5622
24	143	5613
25	149	5616
26	155	5601
27	161	5594
28	166	5586
29	172	5575
30	178	5587
31	184	5582
32	189	5566
33	194	5530
34	200	5522
35	206	5516
36	212	5531
37	218	5540
38	224	5542
39	231	5558
40	237	5552
41	246	5616
42	251	5600
43	257	5594
44	265	5639
45	271	5638
46	278	5649
47	283	5632
48	289	5619
49	295	5621
50	301	5610
51	307	5612
52	313	5601
53	319	5589
54	324	5582
55	330	5569
56	336	5561
57	343	5574
58	349	5567
59	354	5559
60	360	5550
61	366	5539
62	372	5535
63	377	5524
64	383	5515
65	391	5542
66	397	5541
67	405	5555
68	410	5543
69	416	5534
70	423	5540
71	430	5549
72	440	5591
73	445	5580
74	451	5570
75	462	5620
76	468	5611
77	477	5645
78	483	5637
79	493	5670
80	498	5657
81	508	5695
82	514	5681
83	524	5720
84	530	5707
85	541	5754
86	547	5743
87	558	5792
88	565	5783
89	576	5827
90	588	5883
91	595	5881
92	607	5921
93	614	5919
94	625	5962
95	638	6013
96	645	6012
97	656	6043
98	663	6038
99	675	6079
100	687	6118
101	694	6116
102	706	6154
103	719	6199
104	726	6191
105	734	6192
106	740	6175
107	747	6171
108	754	6166
109	760	6149
110	768	6151
111	774	6141
112	781	6131
113	786	6115
114	792	6102
115	799	6096
116	806	6086
117	813	6080
118	820	6071
119	827	6066
120	833	6058
121	840	6049
122	850	6064
123	857	6061
124	864	6050
125	870	6035
126	878	6035
127	883	6021
128	889	6007
129	896	6002
130	903	5990
131	911	5995
132	917	5980
133	925	5980
134	932	5972
135	938	5960
136	947	5965
137	953	5953
138	964	5974
139	972	5976
140	981	5979
141	990	5986
142	997	5978
143	1005	5979
144	1011	5965
145	1017	5951
146	1027	5959
147	1033	5947
148	1042	5956
149	1048	5943
150	1060	5960
151	1065	5947
152	1076	5957
153	1082	5945
154	1094	5965
155	1100	5955
156	1108	5954
157	1114	5941
158	1125	5954
159	1132	5944
160	1141	5946
161	1146	5931
162	1156	5936
163	1161	5921
164	1178	5963
165	1191	5983
166	1199	5981
167	1206	5973
168	1211	5958
169	1221	5963
170	1226	5947
171	1236	5952
172	1242	5937
173	1252	5946
174	1258	5931
175	1268	5938
176	1273	5923
177	1284	5932
178	1290	5918
179	1302	5933
180	1308	5919
181	1318	5927
182	1324	5914
183	1335	5920
184	1340	5906
185	1351	5915
186	1357	5903
187	1367	5905
188	1373	5892
189	1383	5898
190	1389	5885
191	1397	5880
192	1403	5867
193	1412	5870
194	1418	5856
195	1428	5861
196	1438	5861
197	1447	5862
198	1453	5849
199	1460	5843
200	1468	5836
201	1476	5834
202	1483	5822
203	1489	5813
204	1495	5801
205	1501	5788
206	1509	5782
207	1515	5770
208	1521	5758
209	1525	5739
210	1532	5728
211	1538	5719
212	1544	5707
213	1550	5695
214	1556	5681
215	1561	5668
216	1567	5656
217	1574	5646
218	1580	5634
219	1586	5625
220	1592	5614
221	1598	5602
222	1605	5594
223	1611	5582
224	1617	5569
225	1623	5558
226	1628	5546
227	1634	5535
228	1641	5525
229	1647	5514
230	1653	5504
231	1659	5492
232	1664	5480
233	1670	5469
234	1676	5457
235	1682	5447
236	1688	5436
237	1694	5424
238	1701	5417
239	1707	5407
240	1710	5387
241	1717	5381
242	1724	5370
243	1729	5359
244	1736	5351
245	1742	5340
246	1748	5331
247	1754	5321
248	1760	5311
249	1767	5302
250	1773	5290
251	1778	5280
252	1785	5270
253	1791	5260
254	1798	5253
255	1803	5242
256	1809	5231
257	1816	5225
258	1821	5211
259	1827	5200
260	1834	5193
261	1839	5182
262	1846	5174
263	1852	5164
264	1858	5153
265	1864	5145
266	1870	5136
