iter	Passed	Remaining
0	1	1177
1	2	1386
2	4	1634
3	7	1771
4	9	1848
5	11	1849
6	13	1878
7	15	1903
8	18	1991
9	20	2044
10	24	2244
11	34	2867
12	38	2915
13	40	2851
14	47	3126
15	60	3727
16	63	3670
17	65	3576
18	67	3496
19	70	3440
20	73	3409
21	77	3430
22	80	3423
23	82	3347
24	84	3289
25	86	3239
26	88	3177
27	90	3151
28	92	3083
29	95	3093
30	98	3085
31	100	3026
32	103	3022
33	105	2996
34	106	2945
35	110	2961
36	113	2961
37	121	3080
38	125	3092
39	127	3069
40	134	3137
41	136	3116
42	142	3179
43	145	3156
44	147	3124
45	154	3203
46	159	3235
47	161	3207
48	164	3185
49	167	3179
50	168	3136
51	180	3291
52	183	3274
53	186	3270
54	191	3293
55	193	3255
56	195	3236
57	197	3214
58	199	3183
59	201	3158
60	203	3129
61	205	3105
62	209	3123
63	212	3106
64	215	3107
65	217	3077
66	220	3065
67	222	3043
68	223	3011
69	225	2991
70	227	2982
71	252	3259
72	255	3241
73	257	3219
74	259	3197
75	261	3177
76	264	3170
77	266	3146
78	268	3129
79	270	3109
80	272	3089
81	274	3074
82	276	3055
83	278	3033
84	282	3046
85	284	3025
86	286	3011
87	288	2994
88	294	3018
89	298	3013
90	303	3036
91	306	3027
92	308	3008
93	313	3017
94	316	3010
95	318	2996
96	321	2996
97	323	2980
98	326	2971
99	327	2948
100	329	2930
101	330	2906
102	331	2889
103	332	2868
104	334	2851
105	336	2837
106	338	2821
107	339	2800
108	340	2786
109	342	2772
110	343	2753
111	345	2738
112	346	2720
113	348	2705
114	349	2692
115	350	2674
116	352	2661
117	353	2644
118	355	2629
119	356	2617
120	358	2605
121	360	2593
122	362	2581
123	363	2570
124	365	2555
125	366	2543
126	368	2533
127	369	2519
128	371	2510
129	373	2499
130	375	2488
131	376	2478
132	380	2480
133	382	2471
134	384	2462
135	386	2452
136	388	2444
137	389	2433
138	391	2426
139	393	2415
140	395	2407
141	396	2398
142	398	2387
143	400	2382
144	403	2378
145	405	2369
146	406	2360
147	408	2351
148	410	2342
149	411	2333
150	413	2324
151	414	2315
152	416	2307
153	417	2295
154	419	2285
155	420	2277
156	422	2269
157	424	2261
158	426	2253
159	427	2246
160	429	2238
161	431	2231
162	433	2224
163	435	2218
164	437	2212
165	438	2204
166	440	2197
167	442	2190
168	443	2182
169	444	2172
170	446	2165
171	448	2159
172	450	2153
173	452	2146
174	453	2139
175	455	2132
176	457	2125
177	458	2119
178	460	2111
179	462	2104
180	463	2098
181	465	2092
182	467	2085
183	468	2079
184	470	2070
185	471	2064
186	473	2058
187	475	2051
188	476	2045
189	478	2041
190	480	2035
191	482	2029
192	483	2021
193	484	2014
194	486	2008
195	488	2002
196	489	1997
197	491	1991
198	493	1986
199	495	1981
200	497	1975
201	498	1970
202	500	1964
203	502	1959
204	503	1953
205	505	1948
206	507	1943
207	509	1938
208	510	1932
209	512	1927
210	514	1922
211	515	1917
212	517	1911
213	518	1905
214	520	1900
215	522	1895
216	523	1890
217	525	1885
218	526	1878
219	528	1874
220	530	1869
221	532	1864
222	533	1857
223	534	1853
224	536	1848
225	538	1844
226	540	1840
227	542	1835
228	543	1830
229	545	1825
230	546	1820
231	548	1816
232	550	1811
233	552	1808
234	554	1803
235	555	1798
236	557	1794
237	558	1788
238	560	1783
239	561	1779
240	563	1774
241	564	1769
242	567	1768
243	569	1764
244	571	1760
245	572	1756
246	574	1751
247	576	1748
248	578	1743
249	580	1740
250	581	1736
251	583	1732
252	585	1728
253	587	1724
254	588	1718
255	589	1714
256	591	1709
257	592	1705
258	595	1702
259	597	1700
260	599	1697
261	600	1692
262	602	1688
263	604	1684
264	606	1681
265	607	1676
266	609	1673
267	610	1668
268	612	1664
269	614	1660
270	615	1656
271	617	1652
272	619	1649
273	620	1644
274	621	1639
275	623	1635
276	624	1631
277	626	1627
278	628	1623
279	630	1620
280	631	1616
281	633	1612
282	635	1609
283	636	1605
284	637	1600
285	639	1596
286	641	1593
287	643	1589
288	644	1586
289	646	1582
290	647	1578
291	649	1575
292	652	1573
293	653	1570
294	656	1568
295	658	1566
296	660	1562
297	661	1559
298	663	1555
299	664	1551
300	666	1547
301	668	1544
302	669	1540
303	671	1537
304	673	1534
305	674	1530
306	676	1527
307	678	1523
308	679	1520
309	681	1516
310	683	1513
