iter	Logloss
0	0.6829068955
1	0.6732301756
2	0.6647988237
3	0.6562228268
4	0.6480037045
5	0.6400418216
6	0.631780755
7	0.6251693099
8	0.6169006487
9	0.6098854378
10	0.603353213
11	0.5958955669
12	0.5887728478
13	0.5825894151
14	0.5753025769
15	0.5687416808
16	0.5638332977
17	0.5572417795
18	0.5516041098
19	0.5463080907
20	0.5416108571
21	0.536751525
22	0.5317768811
23	0.5264751138
24	0.5211708382
25	0.5169455123
26	0.5124636437
27	0.5074871882
28	0.5029497539
29	0.4987649787
30	0.49393491
31	0.4902265017
32	0.4867097341
33	0.4822683813
34	0.4786703031
35	0.4748606921
36	0.4719838182
37	0.4683924984
38	0.4654597452
39	0.4628853994
40	0.4597074604
41	0.4563667263
42	0.453460345
43	0.4508171604
44	0.4477570416
45	0.445273935
46	0.442941117
47	0.4402711076
48	0.4377980689
49	0.4355356574
50	0.433053979
51	0.4311533889
52	0.4286066343
53	0.4266565401
54	0.4243987967
55	0.4225155904
56	0.4206380975
57	0.4185716812
58	0.4168561474
59	0.4153539231
60	0.4140415279
61	0.4126734276
62	0.4109493238
63	0.4088649314
64	0.4072594142
65	0.4059456603
66	0.4045110903
67	0.402921215
68	0.4017454522
69	0.4000252502
70	0.3986780524
71	0.3974660934
72	0.3959181276
73	0.3944616448
74	0.3934715654
75	0.3924288467
76	0.3914325662
77	0.3902289334
78	0.3892019612
79	0.388265601
80	0.3869484331
81	0.3860568042
82	0.3851841966
83	0.3843667017
84	0.3834400264
85	0.3821479763
86	0.3813217372
87	0.3803951664
88	0.3794343156
89	0.3787522686
90	0.3779877963
91	0.3770028032
92	0.3762239778
93	0.3753082066
94	0.3745712907
95	0.373904398
96	0.3731684576
97	0.3722325852
98	0.3712619799
99	0.3705262485
100	0.369813231
101	0.3692339544
102	0.3687139363
103	0.3678758177
104	0.3673512359
105	0.3666653916
106	0.3656782734
107	0.3650022184
108	0.3641748298
109	0.3635694251
110	0.3627481678
111	0.3622363365
112	0.3614707494
113	0.3607807595
114	0.3600541903
115	0.3594395189
116	0.3588942785
117	0.3584966093
118	0.3578267903
119	0.357157668
120	0.3565453307
121	0.3562160823
122	0.3555860127
123	0.3550294153
124	0.3545594237
125	0.3541855485
126	0.3535901422
127	0.3532401655
128	0.3526919639
129	0.3521432049
130	0.3517257481
131	0.3513276261
132	0.3507606472
133	0.3502749787
134	0.3500187147
135	0.3496227526
136	0.3492792556
137	0.3489287215
138	0.3485732405
139	0.3482992442
140	0.3477404172
141	0.3473187799
142	0.3469643789
143	0.3467387718
144	0.3464629988
145	0.3461015954
146	0.3456439014
147	0.3452388119
148	0.3448818677
149	0.3446395735
150	0.344446818
151	0.3441440112
152	0.3439455076
153	0.3436200216
154	0.343408454
155	0.3430223857
156	0.3426864833
157	0.3423017389
158	0.3419522499
159	0.3416424756
160	0.3413269879
161	0.3409454485
162	0.3406610358
163	0.3403693073
164	0.3401564855
165	0.3399539408
166	0.3395943838
167	0.3392915073
168	0.3390397024
169	0.3389267595
170	0.3385916932
171	0.3382486491
172	0.3380630354
173	0.3378231449
174	0.3374746662
175	0.3372879725
176	0.3370027586
177	0.336777256
178	0.3365788917
179	0.3363246831
180	0.3360288089
181	0.3358153252
182	0.3356943348
183	0.3354791789
184	0.3352551047
185	0.3351184026
186	0.3348807418
187	0.3346814021
188	0.334410785
189	0.3341857701
190	0.3338960273
191	0.3335891793
192	0.3334410158
193	0.333270835
194	0.332962071
195	0.3327840518
196	0.3326530979
197	0.3324844151
198	0.3323031909
199	0.3320765386
200	0.3319690652
201	0.3317768323
202	0.3316908188
